Year,mean_ssn,error,n_obs
1700,8.3,,
1701,18.3,,
1702,26.7,,
1703,38.3,,
1704,60,,
1705,96.7,,
1706,48.3,,
1707,33.3,,
1708,16.7,,
1709,13.3,,
1710,5,,
1711,0,,
1712,0,,
1713,3.3,,
1714,18.3,,
1715,45,,
1716,78.3,,
1717,105,,
1718,100,,
1719,65,,
1720,46.7,,
1721,43.3,,
1722,36.7,,
1723,18.3,,
1724,35,,
1725,66.7,,
1726,130,,
1727,203.3,,
1728,171.7,,
1729,121.7,,
1730,78.3,,
1731,58.3,,
1732,18.3,,
1733,8.3,,
1734,26.7,,
1735,56.7,,
1736,116.7,,
1737,135,,
1738,185,,
1739,168.3,,
1740,121.7,,
1741,66.7,,
1742,33.3,,
1743,26.7,,
1744,8.3,,
1745,18.3,,
1746,36.7,,
1747,66.7,,
1748,100,,
1749,134.8,,
1750,139,,
1751,79.5,,
1752,79.7,,
1753,51.2,,
1754,20.3,,
1755,16,,
1756,17,,
1757,54,,
1758,79.3,,
1759,90,,
1760,104.8,,
1761,143.2,,
1762,102,,
1763,75.2,,
1764,60.7,,
1765,34.8,,
1766,19,,
1767,63,,
1768,116.3,,
1769,176.8,,
1770,168,,
1771,136,,
1772,110.8,,
1773,58,,
1774,51,,
1775,11.7,,
1776,33,,
1777,154.2,,
1778,257.3,,
1779,209.8,,
1780,141.3,,
1781,113.5,,
1782,64.2,,
1783,38,,
1784,17,,
1785,40.2,,
1786,138.2,,
1787,220,,
1788,218.2,,
1789,196.8,,
1790,149.8,,
1791,111,,
1792,100,,
1793,78.2,,
1794,68.3,,
1795,35.5,,
1796,26.7,,
1797,10.7,,
1798,6.8,,
1799,11.3,,
1800,24.2,,
1801,56.7,,
1802,75,,
1803,71.8,,
1804,79.2,,
1805,70.3,,
1806,46.8,,
1807,16.8,,
1808,13.5,,
1809,4.2,,
1810,0,,
1811,2.3,,
1812,8.3,,
1813,20.3,,
1814,23.2,,
1815,59,,
1816,76.3,,
1817,68.3,,
1818,52.9,9.2,213
1819,38.5,7.9,249
1820,24.2,6.4,224
1821,9.2,4.2,304
1822,6.3,3.7,353
1823,2.2,2.7,302
1824,11.4,4.6,194
1825,28.2,6.8,310
1826,59.9,9.8,320
1827,83,11.6,321
1828,108.5,13.2,301
1829,115.2,13.6,291
1830,117.4,13.7,268
